u,v,key,osmid,name,highway,length,speed_kph,travel_time,lanes,maxspeed,oneway
21515985,33984062,0,451703966,Strada Brașov,residential,103.86999837786384,50.0,7.478639883206197,,RO:urban,False
21515985,33984063,0,96021766,Piața Plevnei,residential,97.72625923541777,50.0,7.036290664950079,,RO:urban,True
21515985,33984065,0,451703966,Strada Brașov,residential,62.119946053542925,50.0,4.4726361158550905,,RO:urban,False
21515986,4485254129,0,757298214,Splaiul Tudor Vladimirescu,secondary,33.60218401045428,50.0,2.4193572487527084,4,RO:urban,False
21515986,21515988,0,757298215,Splaiul Tudor Vladimirescu,secondary,87.64372035740126,50.0,6.310347865732892,4,RO:urban,False
21515988,21515986,0,757298215,Splaiul Tudor Vladimirescu,secondary,87.64372035740126,50.0,6.310347865732892,4,RO:urban,False
21515988,25497634,0,757298216,Splaiul Tudor Vladimirescu,secondary,50.965974936487385,50.0,3.669550195427092,3,RO:urban,True
21515992,1109436944,0,4370820,Strada Romulus,residential,84.15874130722352,50.0,6.059429374120094,,RO:urban,False
21515992,263705391,0,857183568,Bulevardul Constantin Brâncoveanu,secondary,150.34465667563737,50.0,10.824815280645891,4,50,False
21515992,2178498069,0,857183569,Bulevardul Constantin Brâncoveanu,secondary,130.28759023822687,50.0,9.380706497152335,4,50,False
21515996,25507156,0,"[660515200, 376297505, 660515201, 512869520, 512869521, 660515198, 660515199]",Bulevardul Vasile Pârvan,secondary,231.94565453700216,50.0,16.700087126664158,4,50,False
21515996,1133482449,0,"[512869522, 512869519]",Bulevardul Vasile Pârvan,secondary,173.3926352876871,50.0,12.484269740713472,4,50,False
21515996,11304546892,0,1220019836,Strada Traian Lalescu,residential,41.728820230190465,50.0,3.0044750565737135,2,RO:urban,False
21515998,11304546892,0,4266872,Strada Traian Lalescu,residential,257.97858017973994,30.0,30.957429621568796,1,30,True
21515998,21516000,0,4266873,Strada Ioan Curea,residential,175.77772262591438,50.0,12.655996029065836,1,RO:urban,True
21516000,357958368,0,1329622758,Strada Petre Râmneanțu,residential,19.47601793590151,50.0,1.4022732913849087,,RO:urban,False
21516000,21516001,0,1329622757,Strada Petre Râmneanțu,residential,74.3453110382698,50.0,5.352862394755426,,RO:urban,True
21516001,357951930,0,31859097,Strada Petre Râmneanțu,residential,73.87795836571696,50.0,5.3192130023316215,,RO:urban,True
21516001,356674698,0,65001087,Bulevardul Doctor Victor Babeș,tertiary,93.9671803316203,50.0,6.765636983876662,2,50,False
21516001,25499013,0,65001087,Bulevardul Doctor Victor Babeș,tertiary,178.43516249041554,50.0,12.847331699309919,2,50,False
25478311,2178513462,0,843442856,Calea Buziașului,primary,44.31445828870455,50.0,3.1906409967867275,5,50,False
25478311,25478384,0,4266856,Strada Siemens,residential,212.08498993305352,50.0,15.270119275179855,,RO:urban,False
25478311,291440148,0,31955212,Strada Martir Constantin Radu,tertiary,348.84426472070015,50.0,25.11678705989041,2,RO:urban,False
25478311,25478313,0,"[855883936, 843442857]",Calea Buziașului,primary,233.30203111937197,50.0,16.797746240594783,"['5', '4']",50,False
25478313,4268609159,0,587849585,Calea Buziașului,primary,48.175952657396536,50.0,3.4686685913325506,4,50,False
25478313,291440615,0,"[26577422, 855883935]",Strada Spătarul Milescu,residential,201.3505015997502,50.0,14.497236115182016,,RO:urban,False
25478313,25478311,0,"[855883936, 843442857]",Calea Buziașului,primary,233.302031119372,50.0,16.797746240594787,"['5', '4']",50,False
25478317,2065270124,0,376362480,Calea Buziașului,primary,140.07719029160126,50.0,10.085557700995292,3,RO:urban,True
25478317,288912800,0,"[855887496, 855886204]",Calea Buziașului,primary,52.16869492693129,50.0,3.756146034739053,4,50,False
25478325,2263483085,0,"[1325621624, 719125737, 919175131, 1187858710]",Calea Stan Vidrighin,primary,622.8552720718335,50.0,44.84557958917201,"['2', '3']",50,True
25478325,25478328,0,1227522690,Piața General Gheorghe Domășnean,primary,43.13798283566041,50.0,3.1059347641675497,2,RO:urban,True
25478328,6844125251,0,"[719125738, 4326787]",Bulevardul Liviu Rebreanu,primary,342.0324728005003,50.0,24.62633804163602,"['2', '3']",50,True
25478328,25530084,0,1227522689,Piața General Gheorghe Domășnean,primary,36.463178282559966,50.0,2.6253488363443176,3,RO:urban,True
25478346,6428488571,0,421609143,Bulevardul Liviu Rebreanu,primary,32.02315096602136,50.0,2.305666869553538,2,50,True
25478346,25530087,0,686147775,Strada Arieș,secondary,23.85048756170179,50.0,1.717235104442529,3,RO:urban,True
25478354,357960883,0,444140952,Bulevardul Liviu Rebreanu,primary,93.65153268116062,50.0,6.742910353043565,2,50,True
25478354,25478357,0,223891097,Strada Cosminului,residential,131.99862232709296,50.0,9.503900807550695,1,RO:urban,True
25478357,25478359,0,24258044,Strada Diaconul Coresi,residential,98.59048991769025,30.0,11.83085879012283,1,30,True
25478357,267482556,0,1220019867,Strada Cosminului,residential,127.34744938475686,50.0,9.169016355702494,,RO:urban,True
25478359,357960883,0,31958016,Strada Martir Ladislau Csimarik,residential,127.2065597892747,50.0,9.15887230482778,,RO:urban,True
25478359,25478361,0,420549777,Piața Axente Sever,residential,128.07829908748727,30.0,15.369395890498472,1,30,True
25478361,26310707,0,420549779,Strada Eneas,residential,330.5484887800385,30.0,39.665818653604624,1,30,True
25478361,29119690,0,420549780,Strada Feldioara,residential,118.65146130007477,30.0,14.238175356008973,,30,True
25478364,264631153,0,64745200,Strada Feldioara,residential,121.03821705537204,30.0,14.524586046644645,,30,True
25478364,357960887,0,1217619721,Strada Memorandului,residential,163.75152311142952,50.0,11.790109664022925,2,RO:urban,True
25478370,25478364,0,4255682,Strada Feldioara,residential,152.16019062393624,30.0,18.25922287487235,,30,True
25478370,2476965959,0,810831540,Strada Grigore Constantin Moisil,residential,25.26815433922686,50.0,1.819307112424334,,RO:urban,False
25478375,797051732,0,64386503,Strada Wilhelm Mühle,residential,111.40205885004596,50.0,8.02094823720331,,RO:urban,False
25478375,25478378,0,686278453,Strada Grigore Constantin Moisil,residential,71.10537013888263,50.0,5.119586649999549,1,RO:urban,True
25478378,267643973,0,64682033,Strada Protopop George Dragomir,residential,22.033168566134844,50.0,1.5863881367617088,2,RO:urban,False
25478378,267644358,0,64297105,Strada Protopop George Dragomir,residential,131.7651916897416,50.0,9.487093801661397,2,RO:urban,False
25478384,2178513463,0,217029971,Strada Olarilor,residential,24.916295090473284,50.0,1.7939732465140765,,RO:urban,False
25478384,25478311,0,4266856,Strada Siemens,residential,212.08498993305352,50.0,15.270119275179855,,RO:urban,False
25478384,6915416341,0,428662708,Strada Siemens,residential,218.8803107104918,30.0,26.265637285259015,,30,False
25478397,1960434695,0,415479112,Strada Siemens,residential,14.469503721645488,30.0,1.7363404465974586,,30,True
25478397,1724757428,0,428662708,Strada Siemens,residential,387.40000765404324,30.0,46.48800091848519,,30,False
25497633,267483277,0,65001084,Bulevardul Mihai Viteazu,tertiary,192.36346895340586,50.0,13.850169764645223,2,50,True
25497633,267640074,0,65001086,Strada Virgil Madgearu,residential,128.43081105486866,50.0,9.247018395950542,2,RO:urban,False
25497634,262642060,0,23605612,Bulevardul Vasile Pârvan,secondary,9.125012512667452,50.0,0.6570009009120565,3,50,True
25497634,25497633,0,4255383,Bulevardul Mihai Viteazu,tertiary,112.38449986093686,50.0,8.091683989987455,2,RO:urban,True
25497638,2476943639,0,186154948,Aleea F.C. Ripensia,secondary,249.71638192338514,50.0,17.97957949848373,3,50,True
25497659,25638207,0,8137292,unnamed,secondary_link,28.132714689086285,50.0,2.0255554576142125,1,50,True
25497659,25638202,0,451714372,Aleea F.C. Ripensia,secondary,26.139786046837088,50.0,1.8820645953722703,3,50,True
25498299,1131835648,0,300919048,unnamed,primary,42.68657332602953,30.0,5.122388799123543,2,30,True
25498301,261186776,0,300919048,unnamed,primary,8.332689947011925,30.0,0.999922793641431,2,30,True
25498304,25498306,0,300919048,unnamed,primary,40.29584611129037,30.0,4.8355015333548454,2,30,True
25498306,2331750153,0,"[1069696832, 218499428, 661092297, 1306853751, 379917181, 1069696830]",Calea Aradului,primary,647.4365094321138,43.333333333333336,53.78703309128329,"['2', '3']","['RO:urban', '30', '50']",True
25498306,25498299,0,300919048,unnamed,primary,37.05821816415694,30.0,4.4469861796988335,2,30,True
25499007,267639842,0,65001087,Bulevardul Doctor Victor Babeș,tertiary,117.88919264101835,50.0,8.488021870153322,2,50,False
25499007,2350919309,0,"[420907331, 65001087]",Bulevardul Doctor Victor Babeș,tertiary,97.943422020981,50.0,7.051926385510632,2,50,False
25499013,21515998,0,4266872,Strada Traian Lalescu,residential,76.64338821415667,30.0,9.197206585698801,1,30,True
25499013,21516001,0,65001087,Bulevardul Doctor Victor Babeș,tertiary,178.4351624904155,50.0,12.847331699309917,2,50,False
25499013,267639842,0,65001087,Bulevardul Doctor Victor Babeș,tertiary,108.99201139695711,50.0,7.847424820580912,2,50,False
25499164,357473889,0,"[107603400, 31911839]","['Aleea Gorunului', 'Strada Mangalia']",residential,78.13286088295375,50.0,5.62556598357267,,RO:urban,False
25499164,26650827,0,690455328,Strada Mangalia,residential,317.9427993878249,50.0,22.891881555923394,,RO:urban,False
25499164,2062439429,0,"[1281362193, 1078045555, 1078045556, 1079784158]",Strada Budai Deleanu,secondary,221.50453512157713,50.0,15.948326528753554,"['2', '3']",RO:urban,False
25499164,25499166,0,"[1281362193, 972317517]",Strada Budai Deleanu,secondary,223.6286627752956,50.0,16.101263719821283,2,RO:urban,False
25499166,25659122,0,8138453,Strada Crizantemelor,residential,204.5415595191036,50.0,14.726992285375461,2,RO:urban,True
25499166,25499164,0,"[1281362193, 972317517]",Strada Budai Deleanu,secondary,223.62866277529557,50.0,16.10126371982128,2,RO:urban,False
25499166,25499167,0,"[857173034, 972317518, 972317519]",Strada Budai Deleanu,secondary,195.56066221810477,50.0,14.080367679703546,"['2', '3']",RO:urban,False
25499167,1133526516,0,998010268,Strada Budai Deleanu,secondary,129.11437793828208,50.0,9.29623521155631,2,RO:urban,False
25499167,25499170,0,8140534,Strada Căpitan Damșescu,residential,170.3525577405605,50.0,12.265384157320359,2,RO:urban,False
25499167,357861206,0,31911654,Strada Prahova,residential,97.52915991454434,50.0,7.022099513847192,,RO:urban,False
25499167,25499166,0,"[857173034, 972317518, 972317519]",Strada Budai Deleanu,secondary,195.56066221810474,50.0,14.08036767970354,"['2', '3']",RO:urban,False
25499170,318833734,0,8140534,Strada Căpitan Damșescu,residential,128.7700879156815,50.0,9.27144632992907,2,RO:urban,False
25499170,25659122,0,4320794,Strada Vasile Lupu,residential,193.62799195995092,50.0,13.941215421116468,,RO:urban,True
25499170,25499167,0,8140534,Strada Căpitan Damșescu,residential,170.35255774056048,50.0,12.265384157320357,2,RO:urban,False
25499176,2062439400,0,4275033,Bulevardul Iuliu Maniu,primary,61.458857104720096,50.0,4.425037711539847,2,RO:urban,True
25505499,1236363724,0,29047917,Strada Doctor Pavel Vasici Ungureanu,tertiary,75.84975154325112,50.0,5.461182111114081,2,RO:urban,True
25505499,25754239,0,"[4277752, 1473618833, 1319728930]",Strada Doctor Pavel Vasici Ungureanu,tertiary,165.54560447735787,50.0,11.919283522369767,"['2', '4']",RO:urban,False
25507133,7859015023,0,1222293463,Strada Ciprian Porumbescu,tertiary,9.221590746799373,50.0,0.6639545337695549,4,RO:urban,False
25507133,255856686,0,842425080,Bulevardul Constantin Brâncoveanu,secondary,116.05399085302638,50.0,8.3558873414179,2,50,True
25507133,25754239,0,"[1222293464, 376425816]",Strada Ciprian Porumbescu,tertiary,325.13764127953976,50.0,23.409910172126864,"['2', '3']",RO:urban,False
25507136,26650942,0,24565336,Strada Corbului,residential,319.0799790800162,50.0,22.973758493761167,,RO:urban,True
25507136,1454115087,0,128511059,Strada Ciprian Porumbescu,tertiary,57.69594691157994,50.0,4.154108177633756,2,RO:urban,False
25507136,7859015023,0,"[1222293462, 1222293446]",Strada Ciprian Porumbescu,tertiary,346.858204789243,50.0,24.973790744825497,"['2', '3']",RO:urban,False
25507144,1454115087,0,128511059,Strada Ciprian Porumbescu,tertiary,171.65577821349441,50.0,12.359216031371599,2,RO:urban,False
25507144,267483266,0,588228989,Strada Alexandru Odobescu,residential,281.0754670669221,50.0,20.237433628818394,,RO:urban,True
25507144,263151277,0,"[1351681680, 1208273027, 1057225284, 1434152254]",Strada Ciprian Porumbescu,tertiary,185.8592070866749,50.0,13.381862910240592,"['4', '3']",RO:urban,False
25507156,2278911695,0,"[217911382, 217911383, 217911384, 217911385, 217911386]",Pasajul Michelangelo,secondary,525.0475914802468,50.0,37.803426586577764,2,50,False
25507156,25507159,0,219386301,Bulevardul Vasile Pârvan,secondary,261.3223798355222,50.0,18.8152113481576,2,50,True
25507156,21515996,0,"[660515200, 660515201, 376297505, 512869520, 512869521, 660515198, 660515199]",Bulevardul Vasile Pârvan,secondary,231.9456545370022,50.0,16.70008712666416,4,50,False
25507159,2267824959,0,4256969,Strada Cluj,secondary,37.70244346073111,50.0,2.71457592917264,3,50,True
25507159,1203989461,0,23611444,Piața Leonardo da Vinci,secondary,29.274498556005046,50.0,2.1077638960323637,2,RO:urban,True
25507163,267486052,0,686147786,Strada Cluj,secondary,87.16812268539115,50.0,6.276104833348163,4,50,True
25507163,266969520,0,24606822,Bulevardul Eroilor de la Tisa,tertiary,110.34150535740032,50.0,7.944588385732824,2,RO:urban,False
25507163,267639416,0,65001087,Bulevardul Doctor Victor Babeș,tertiary,110.2180007164306,50.0,7.935696051583003,2,50,False
25530073,25478317,0,"[668936358, 415881757, 1421215774]",Calea Buziașului,primary,147.45141642642534,50.0,10.616501982702625,2,RO:urban,True
25530073,2065270124,0,1227522682,Piața General Gheorghe Domășnean,primary,39.52574826444589,50.0,2.845853875040104,2,RO:urban,True
25530081,25530073,0,4258959,Piața General Gheorghe Domășnean,primary,78.32607509609795,50.0,5.639477406919053,4,RO:urban,True
25530084,1229106132,0,"[1230654995, 1227522686]",Piața General Gheorghe Domășnean,primary,81.9290673254426,50.0,5.898892847431867,4,RO:urban,True
25530087,3581040750,0,685884378,Bulevardul Liviu Rebreanu,primary,10.937197240427572,50.0,0.7874782013107853,3,50,True
25530087,29119259,0,24257032,Strada Arieș,residential,58.3100178926492,50.0,4.198321288270742,2,50,True
25615665,264512405,0,23875460,Strada Ștefan Octavian Iosif,primary,53.52331064116033,50.0,3.853678366163544,4,RO:urban,False
25615665,258825818,0,"[1177606600, 854155105, 854155104, 1281134943]",Strada Ștefan Octavian Iosif,primary,206.3777268810172,50.0,14.859196335433237,2,50,False
25615689,282417950,0,"[203356830, 855272964, 1106578125, 855255190]",Calea Dorobanților,primary,205.72365647962232,50.0,14.812103266532807,4,50,False
25615689,2133697935,0,"[203356831, 1106578126, 855254919]",Calea Dorobanților,primary,104.80262794980433,50.0,7.545789212385912,4,50,False
25615689,335748081,0,"[855255192, 1274619733]",Strada Mihail Iovanovici Glinka,residential,66.74608446953455,50.0,4.8057180818064875,,RO:urban,False
25615700,2262609062,0,721824849,unnamed,residential,11.145373417223926,50.0,0.8024668860401227,2,50,False
25615700,9874314723,0,"[1456720352, 216941035]",Bulevardul Simion Bărnuțiu,primary,167.18660739068164,50.0,12.03743573212908,"['2', '3']",50,True
25615700,265587623,0,"[1456720355, 25375107]",Strada Samuil Micu,residential,222.27253297819385,50.0,16.00362237442996,"['2', '3']",RO:urban,False
25638202,25638207,0,4269225,Bulevardul Corneliu Coposu,secondary,25.270509431902422,50.0,1.8194766790969745,2,50,True
25638202,256019786,0,23611446,Piața Leonardo da Vinci,secondary,38.27788203823736,50.0,2.75600750675309,3,RO:urban,True
25638207,2278911695,0,"[4277744, 4269225]",Bulevardul Corneliu Coposu,secondary,157.1551037796069,50.0,11.315167472131698,"['2', '1']",50,True
25638344,4281788870,0,219386417,Strada Michelangelo,secondary,86.12632158292976,50.0,6.201095153970943,2,50,True
25638344,255724417,0,376297510,Piața Leonardo da Vinci,secondary,47.88759542036249,50.0,3.4479068702660993,3,RO:urban,True
25639011,11540613607,0,376362495,Strada Venus,secondary,29.314750664179236,50.0,2.110662047820905,3,RO:urban,True
25639011,25639018,0,"[1019202448, 1059570463]",Strada Venus,secondary,146.8365376871239,50.0,10.572230713472921,4,RO:urban,False
25639018,9207963714,0,"[1059570464, 24320396]",Strada Venus,secondary,60.003432058597696,50.0,4.320247108219035,4,RO:urban,False
25639018,4827192119,0,497731874,Strada Electronicii,residential,80.5637226422943,50.0,5.800588030245189,,RO:urban,False
25639018,25639011,0,"[1019202448, 1059570463]",Strada Venus,secondary,146.8365376871239,50.0,10.572230713472921,4,RO:urban,False
25639116,268058903,0,"[24258028, 216247380]",Strada Orion,residential,180.86602160961866,50.0,13.022353555892543,2,RO:urban,False
25639116,318835727,0,237646175,Strada Mareșal Constantin Prezan,secondary,50.950855257559375,50.0,3.668461578544275,4,50,False
25639116,267391567,0,"[1059570467, 1059570468, 1059570469]",Strada Mareșal Constantin Prezan,secondary,228.0604868898522,50.0,16.420355056069358,4,50,False
25639441,357864999,0,25415677,Strada Ulpia Traiana,residential,106.67037802511256,30.0,12.800445363013507,1,30,True
25639441,1942432799,0,518080615,Strada Mareșal Alexandru Averescu,tertiary,166.18371687655608,50.0,11.965227615112038,,50,True
25639441,243753991,0,4269275,Strada Mareșal Alexandru Averescu,tertiary,108.8121006383252,50.0,7.834471245959415,,50,False
25639522,296082158,0,518080615,Strada Mareșal Alexandru Averescu,tertiary,126.12005475059702,50.0,9.080643942042986,,50,True
25639522,357864854,0,447020913,Strada Ioachim Miloia,residential,108.73000750750256,50.0,7.828560540540185,,RO:urban,False
25639524,263149240,0,"[667650418, 4270871]",Bulevardul Constantin Brâncoveanu,secondary,34.243121873855536,50.0,2.4655047749175987,5,RO:urban,False
25639524,29529665,0,"[8138064, 667650420, 667650422]",Bulevardul Constantin Brâncoveanu,secondary,315.4668528776669,50.0,22.713613407192017,"['5', '4']",RO:urban,False
25659113,263704910,0,23620380,Bulevardul Constantin Brâncoveanu,secondary,12.300510541538431,50.0,0.8856367589907671,2,50,True
25659113,10044736943,0,4863098,Bulevardul 16 Decembrie 1989,secondary,178.14173401620977,50.0,12.826204849167105,2,50,True
25659116,255872255,0,24320091,Bulevardul Constantin Brâncoveanu,secondary,104.94099752593242,50.0,7.555751821867134,4,50,False
25659116,26001208,0,420549779,Strada Eneas,residential,284.2901009157388,30.0,34.11481210988865,1,30,True
25659116,243753994,0,"[667650414, 667650415]",Bulevardul Constantin Brâncoveanu,secondary,98.4792904939614,50.0,7.090508915565221,"['5', '4']",50,False
25659122,343309471,0,4277871,Strada Crizantemelor,residential,137.9594425047094,50.0,9.933079860339076,2,RO:urban,True
25659124,2063341777,0,195954017,Bulevardul Regele Carol I,residential,14.156630378513865,50.0,1.0192773872529983,2,50,True
25659124,25659125,0,1278823610,Bulevardul General Ion Dragalina,secondary,255.986363416486,50.0,18.431018165986995,2,50,True
25659125,31384166,0,23596186,Splaiul Tudor Vladimirescu,tertiary,186.9916860961315,30.0,22.439002331535782,1,30,True
25659125,25689339,0,"[23620376, 195954018, 195954016]",Podul General Ion Dragalina,secondary,66.02262585851517,50.0,4.753629061813092,2,RO:urban,True
25689339,263705384,0,23620357,Splaiul Nicolae Titulescu,tertiary,17.02933946177236,50.0,1.22611244124761,2,50,True
25689339,2072108791,0,"[755230412, 378124478]",Bulevardul General Ion Dragalina,secondary,329.140147168677,50.0,23.698090596144745,2,50,True
25689469,268064989,0,55062969,Strada Academician Remus Răduleț,residential,95.04942307237803,30.0,11.405930768685364,,30,False
25689469,25689471,0,197055326,Strada Liniștei,residential,75.24823616112373,30.0,9.029788339334846,2,30,False
25689469,740905888,0,197055326,Strada Liniștei,residential,121.92939511570546,30.0,14.631527413884655,2,30,False
25689471,25689478,0,1157057494,Strada Liniștei,residential,77.02620512162424,30.0,9.24314461459491,2,30,False
25689471,25689469,0,197055326,Strada Liniștei,residential,75.24823616112371,30.0,9.029788339334845,2,30,False
25689478,25689471,0,1157057494,Strada Liniștei,residential,77.02620512162424,30.0,9.24314461459491,2,30,False
25689478,380336183,0,33425856,Strada Haga,residential,472.2406221429353,30.0,56.66887465715224,2,30,True
25689478,5119422517,0,113944955,Strada Liniștei,residential,291.3995989771851,30.0,34.967951877262216,,30,True
25754239,25507133,0,"[376425816, 1222293464]",Strada Ciprian Porumbescu,tertiary,325.13764127953976,50.0,23.409910172126864,"['2', '3']",RO:urban,False
25754239,255856685,0,376425819,Strada Doctor Pavel Vasici Ungureanu,residential,116.14915032654451,50.0,8.362738823511206,2,RO:urban,False
25754239,4427479971,0,536160968,Strada Ciprian Porumbescu,residential,168.58128311023023,50.0,12.137852383936577,2,RO:urban,False
25754239,25505499,0,"[4277752, 1473618833, 1319728930]",Strada Doctor Pavel Vasici Ungureanu,tertiary,165.54560447735787,50.0,11.919283522369767,"['2', '4']",RO:urban,False
25754950,263149231,0,718480867,Calea Șagului,primary,16.061995138797116,50.0,1.1564636499933925,2,RO:urban,True
25754950,12337888222,0,1333564239,Bulevardul Dâmbovița,secondary,103.309802713398,50.0,7.4383057953646565,1,RO:urban,True
25755269,262656752,0,4330012,Splaiul Tudor Vladimirescu,tertiary,228.7571950074443,50.0,16.47051804053599,2,RO:urban,False
25755269,5248745154,0,4330012,Splaiul Tudor Vladimirescu,tertiary,222.43677362696542,50.0,16.01544770114151,2,RO:urban,False
25755269,2133946931,0,4330013,Strada Mangalia,residential,151.54545157333996,50.0,10.911272513280478,,RO:urban,False
26001208,1292046500,0,101622480,Strada Hebe,residential,104.82942568216309,50.0,7.547718649115743,,RO:urban,True
26001208,264626884,0,420549779,Strada Eneas,residential,152.26794207080835,30.0,18.272153048497003,1,30,True
26001308,473496789,0,"[1250081193, 1224763958]",Strada Vulturilor,residential,158.4383065399856,50.0,11.407558070878965,1,RO:urban,True
26001308,2177658218,0,"[1260581804, 31956094]",Strada Transilvania,residential,136.4533240259947,40.0,12.280799162339521,1,"['RO:urban', '30']",True
26001308,2392205744,0,1355628816,Strada Vulturilor,residential,52.845149410964936,50.0,3.8048507575894757,2,RO:urban,False
26001319,25499170,0,4320794,Strada Vasile Lupu,residential,130.34001289557483,50.0,9.38448092848139,,RO:urban,True
26001319,2133946927,0,39523940,Strada Vulturilor,residential,120.37935404090004,30.0,14.445522484908006,2,30,False
26001319,26235120,0,1225622079,Strada Vasile Lupu,residential,166.46708869265552,50.0,11.985630385871199,,RO:urban,False
26001319,1133526516,0,1225622080,Strada Vulturilor,residential,148.38206434108335,50.0,10.683508632558,2,RO:urban,False
26235120,2084174404,0,128511058,Bulevardul Dâmbovița,tertiary,63.79953154432356,50.0,4.593566271191296,2,RO:urban,False
26235120,274862133,0,128511058,Bulevardul Dâmbovița,tertiary,122.359452315832,50.0,8.809880566739904,2,RO:urban,False
26235120,26001319,0,1225622079,Strada Vasile Lupu,residential,166.46708869265552,50.0,11.985630385871199,,RO:urban,False
26310707,255872252,0,23618056,Strada Drubeta,tertiary,138.15001125769285,30.0,16.57800135092314,2,30,True
26310707,277706883,0,420549779,Strada Eneas,residential,130.55909225916383,30.0,15.667091071099662,1,30,True
26350353,9929048686,0,4330015,Strada Ion Barac,tertiary,135.11835917024263,50.0,9.72852186025747,1,RO:urban,True
26350353,318833734,0,8140534,Strada Căpitan Damșescu,residential,124.18158341691704,50.0,8.941074006018027,2,RO:urban,False
26350353,26350359,0,1187852185,Strada Căpitan Damșescu,tertiary,224.27280857703542,50.0,16.14764221754655,2,RO:urban,False
26350353,26350842,0,1225622082,Strada Johann Nepomuk Preyer,residential,190.97492783793857,30.0,22.916991340552627,2,30,False
26350359,5248745154,0,4330012,Splaiul Tudor Vladimirescu,tertiary,192.3602552751021,50.0,13.849938379807353,2,RO:urban,False
