leisure,name,is_in_city,name_de,name_en,wikidata,check_date,foot,name_ro,old_name_-1993,alt_name,old_name,old_name_-2012,landuse,access,old_name_-1990,addr_city,addr_street,place,bicycle,opening_hours,leaf_cycle,leaf_type,level,addr_housenumber,addr_postcode,addr_postcode_source,source,natural,religion,type,alt_name_de,alt_name_ro,category,intermittent,water,salt,tidal,man_made,basin,amenity,cuisine,phone,website,check_date_opening_hours,addr_country,internet_access,outdoor_seating,smoking,delivery,air_conditioning,beds,rooms,stars,tourism,_tip_,note,diet_vegetarian,website_menu,description,email,wifi,capacity,takeaway,wheelchair,diet_vegan,indoor_seating,organic,payment_credit_cards,payment_debit_cards,brand,brand_wikidata,brand_wikipedia,contact_email,contact_facebook,contact_instagram,contact_phone,contact_website,contact_youtube,operator,toilets_wheelchair,handwashing_soap,toilets,toilets_access,toilets_paper_supplied,opening_hours_signed,addr_neighbourhood,bar,building,diet_meat,building_material,height,roof_colour,roof_shape,building_levels,building_roof_shape,internet_access_fee,payment_cash,payment_contactless,official_name,facebook,theme,compressed_air,fuel_lpg,contact_tiktok,name_ru,fuel_diesel,tiktok,fuel_octane_100,fuel_octane_95,fuel_octane_98,maxheight,fuel_octane,mapillary,survey_date,parking,fee,fee_conditional,supervised,surface,capacity_disabled,charge,operator_type,psv,park_ride,maxstay,covered,smoothness,area,construction_end_expected,source_capacity,layer,orientation,bus,parking_orientation,emergency,healthcare,building_facade_colour,wikipedia,healthcare_speciality,barrier,education,is_in_country,is_in_county,start_date,name_hu,grades,fixme,official_name_en,official_name_ro,atm,drive_through,brand_en,brand_ro,addr_housename,branch,operator_wikidata,operator_wikipedia,short_name,dispensing,historic,artwork_type,name_pl,archaeological_site,historic_civilization,author,material,memorial,locomotive_type,inscription,denomination,defensive_works,wikipedia_de,name_el,heritage,heritage_operator,ref_RO_lmi,wikimedia_commons,ruins,aircraft_type,manufacturer,manufacturer_wikidata,manufacturer_wikipedia,model_wikidata,model_wikipedia,ref,castle_type,SIRUTA_code,codul_entității_muzeale,description_ro,fax,source_link,tourism_survey,contact_fax,museum_type,museum,direction,building_colour,name_sr,bridge_structure,lat,lon
,La Pizzaccia,,,,,,,,,,,,,,,Timișoara,Bulevardul Dâmbovița,,,,,,,16A,300455,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,restaurants,,,,,,,restaurant,italian,,https://www.facebook.com/timisoara.lapizzaccia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7331872,21.2051067
,BIOfresh,,,,,,,,,,,,,,,Timișoara,Strada Francesco Griselini,,,"Mo-Fr 10:00-22:00, Sa-Su 12:00-22:00",,,,2,300054,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,restaurants,,,,,,,restaurant,regional,+40 724 637 374,https://biofreshtm.ro/,,,wlan,pedestrian_zone,,,,,,,,,,yes,,,,,,,limited,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7561014,21.2309482
,Zai Après Café,,,,,2024-10-28,,,,,,,,,,Timișoara,Strada Florimund Mercy,,,"Mo-Fr 07:45-23:45; Sa,Su, 08:45-23:45",,,,5,300085,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,restaurants,,,,,,,restaurant,,,https://www.facebook.com/zai-apr%C3%A8s-caf%C3%A9-130022453740838/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7567964,21.2287452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7698436,21.2316204
,Al Caminetto,,,,,,,,,,,,,,,,Strada Salcâmilor,,,,,,,34,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.733786,21.2308486
,Pizza Hut,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pizza Hut,Q191615,en:Pizza Hut,contact@pizzahut.ro,https://www.facebook.com/PizzaHut.Romania,https://www.instagram.com/pizzahutromania/,+40 751 090 226,https://www.pizzahut.ro/,https://www.youtube.com/user/PizzaHutRomania,AMERICAN RESTAURANT SYSTEM S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7256516,21.1976993
,Cora,,,,,,,,,,,,,,,,Strada Eugeniu de Savoya,,,Mo-Su 11:00-01:00,,,,13,,,,,,,,,restaurants,,,,,,,restaurant,italian;pizza,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7567789,21.2260304
,Eurohotel,,,,,,,Eurohotel,,,,,,,,,Strada Mehadia,,,,,,,5,300558,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,58,,3,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7509716,21.244785
,Timișoreana,,,,,2025-08-12,,,,,,,,,,,,,,Mo-Su 10:00-01:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7533222,21.2251438
,Belvedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7542413,21.2253059
,Riyo,,,,,,,,,,,,,,,,,,,Tu-Su 12:00-21:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7554018,21.2288015
,Neața Omlette Bistro,,,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-16:00; Sa,Su 09:00-16:00",,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7563469,21.2280264
,Jack's Bistro,,,,,,,,,,,,,,,,,,,"Mo-Th 09:00-23:00, Fr 09:00-24:00, Sa 10:00-24:00, Su 10:00-23:00",,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7570787,21.2279276
,Urban,,,,,,,,,,,,,,,Timișoara,Strada Mărășești,,,,,,,12,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7581475,21.2262122
,Little Hanoi,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,0799525299,https://www.littlehanoi.ro/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7582836,21.2259994
,Locanda del Corso,,,,,,,,,,,,,,,,,,,"Su-Th 11:00-23:00, Fr,Sa 11:00-24:00",,,,,,,,,,,,,restaurants,,,,,,,restaurant,italian,,https://locandadelcorso.ro/,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,yes,yes,customers,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.757584,21.226133
,Insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7634457,21.2744778
,Troppo Buono,,,,,,,,,,,,,,,,,,,Mo-Su 12:00-23:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7567923,21.2285058
,Lifebowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,yes,,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7576554,21.2276616
,The Scotland Yard,,,,,2025-05-10,,,,,,,,,,,,,,Mo-Su 12:00-24:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,2025-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7566131,21.2286866
,Craft Rooftop,,,,,,,,,,,,,,,Timișoara,Piața Iancu Huniade,,,,,,,2,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,yes,,no,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7541236,21.2267438
,La Pinocchio,,,,,2025-05-08,,,,,,,,,,Timișoara,Piața Unirii,,,Mo-Su 10:00-24:00,,,,2,,,,,,,,,restaurants,,,,,,,restaurant,crepe;pizza;pasta;breakfast;sandwich,,,2025-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7574566,21.2286032
,Pizzeria Bruck,,,,,,,,,,,,,,,Timișoara,Strada Florimund Mercy,,,,,,,9,,,,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7572214,21.2288186
,Bistro M,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-24:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7576186,21.2299922
,Napoleon,,,,,,,,,,,,,,,,Aleea Studenților,,,Mo-Su 10:00-00:00,,,,5,300001,,,,,,,,restaurants,,,,,,,restaurant,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7496734,21.241002
,Pepper,,,,,,,,,,,,,,,Timișoara,Piața Unirii,,,Mo-Su 12:00-24:00,,,,13,300085,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,yes,outside,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7578699,21.2300339
,Balkan Bistro,,,,,,,,,,,,,,,,,,,Mo-Su 12:00-24:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,serbian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7576391,21.2279885
,SushiYa,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-23:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7523259,21.2254631
,RIBSody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7575233,21.2277569
,Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7571947,21.2332908
,In Thyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,"burger,regional,pasta",+40 725 065 301,,,,,yes,outside,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7577707,21.2300223
,La Pizza Napoletana,,,,,,,,,,,,,,,,Strada Argeș,,,,,,,18,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7441091,21.2359605
,Suppa Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7668005,21.2285099
,Casa Moc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7559816,21.2335732
,Homemade,,,,,2024-10-30,,,,,,,,,,,Strada Gheorghe Doja,,,Mo-Su 12:00-23:00,,,,40,,,,,,,,,restaurants,,,,,,,restaurant,,+40 730 832 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.743645,21.2230053
,Miorița,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-00:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,+40 729 666 705,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,yes,yes,customers,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.757091,21.228793
,KM0,,,,,,,,,,,,,,,Timișoara,Calea Torontalului,,,,,,,69,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7749668,21.2134462
,August Pasta Bar,,,,,,,,,,,,,,,,,,,"Su-Th 12:00-24:00, Fr,Sa 12:00-01:00",,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.756983,21.2289701
,Restaurant Petito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7325115,21.2157849
,Karađorđe,,,,,,,,,,,,,,,,,,,Mo-Sa 12:00-23:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,serbian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.757633,21.2278252
,Argentinian Steakhouse,,,,,,,,,,,,,,,Timișoara,Strada Suceava,,,,,,,10,300092,,,,,,,,restaurants,,,,,,,restaurant,argentinian;steak_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.757476,21.2118792
,Pizza Thalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7349537,21.2488822
,Quick Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.750551,21.2109457
,Musiu,,,,,,,,,,,,,,,Timișoara,Strada Mareșal Alexandru Averescu,,,,,,,1B,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.732697,21.2203154
,In Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7387667,21.2065129
,Bistro 700,,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-17:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7581579,21.2225689
,@Fabrika,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,2025-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7661228,21.2294378
,Pizza Hut,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pizza Hut,Q191615,en:Pizza Hut,contact@pizzahut.ro,https://www.facebook.com/PizzaHut.Romania,https://www.instagram.com/pizzahutromania/,+40 749 099 067,https://www.pizzahut.ro/,https://www.youtube.com/user/PizzaHutRomania,AMERICAN RESTAURANT SYSTEM S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7667179,21.2278916
,HașDe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7496892,21.2407009
,C House Milano,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7655927,21.22771
